professor_id,first_name,last_name,date_of_birth,address_id
13069762,Darnell,Bergnaum,1959-07-03,2001
6824559,Leonard,McKenzie,1966-12-30,2002
75604037,Johnnie,Schiller,1983-01-09,2003
89821119,Dexter,Sporer,1993-12-14,2004
19863428,Latoya,Parker,1966-07-27,2005
9386864,Kendra,Olson,1989-10-17,2006
47042757,Jean,Bailey,1976-09-14,2007
78719312,Alberto,Osinski,1966-12-12,2008
83852226,Sara,Reilly,1982-08-15,2009
13951872,Garrett,Bogan,1978-10-17,2010
8682504,Delores,Howe,1971-05-08,2011
15804343,Penny,Predovic,1963-04-24,2012
20698223,Cedric,Legros,1987-01-31,2013
39075570,Freddie,Schmeler,1993-02-05,2014
81678955,Lola,Hintz,1968-09-23,2015
79232146,Matt,Lemke,1992-03-16,2016
86262795,Nathan,Crona,1992-01-22,2017
99247746,Johnnie,Hahn,1983-03-10,2018
54690232,Jerald,Stiedemann,1960-04-05,2019
98698209,Jimmy,O'Kon,1977-10-20,2020
58709422,Lionel,Rice,1966-07-16,2021
38674353,Edna,Swift,1970-01-09,2022
59058393,Theresa,Kirlin,1989-11-06,2023
42731083,Darren,Legros,1981-03-09,2024
73655481,Delores,Kub,1976-07-02,2025
9669035,Melvin,Hessel,1964-11-27,2026
59457112,June,Kulas,1993-10-15,2027
36883314,Leroy,Ferry,1972-12-18,2028
93016589,Kay,Gorczany,1977-04-20,2029
56223798,Flora,Ankunding,1958-07-01,2030
14511467,Darin,Hilpert,1982-04-11,2031
40870687,Rosemarie,Wunsch,1963-12-30,2032
896508,Glenda,Witting,1978-04-24,2033
51803612,Rodolfo,Kassulke,1983-09-02,2034
35203707,Melody,Parker,1984-06-21,2035
42308841,Theodore,Yost,1983-10-27,2036
29786094,Sandra,Jerde,1994-02-01,2037
6019959,Al,Larkin-Weimann,1983-06-25,2038
57515922,Jorge,Wiza-Zieme,1966-02-09,2039
39640189,Janie,Rolfson,1972-05-21,2040
98030689,Leigh,Dare,1986-01-23,2041
36431657,Alicia,Kessler-VonRueden,1989-10-31,2042
49035351,Neil,Leannon,1974-09-22,2043
20475085,Charlotte,Kertzmann,1992-12-26,2044
22661925,Bill,Swaniawski,1984-08-05,2045
47772725,Edna,Doyle,1963-10-18,2046
42379393,Nicolas,Jacobi,1978-09-04,2047
78979266,Rodolfo,Walsh,1988-01-12,2048
80179115,Percy,Baumbach,1966-07-04,2049
39558031,Peter,Wunsch,1978-10-17,2050
