student_number,student_id,first_name,last_name,dat_of_birth,address_id
1,58076037,Lorraine,Hirthe-Frami,Nov 7th 85,1
2,42177113,Dallas,Rosenbaum,Jul 9th 88,2
3,4863986,Robert,Thiel,Jan 18th 99,3
4,20746971,Arnold,Robel,Nov 8th 97,4
5,21021235,Connie,Goodwin,Oct 18th 03,5
6,91320019,Jesse,Christiansen,Sep 1st 04,6
7,43736683,Dean,Rolfson,Sep 14th 84,7
8,61769782,Stacy,Howe,Dec 31st 91,8
9,50633234,Bernadette,Halvorson,Jun 24th 90,9
10,55684405,Maureen,Boehm,Jul 29th 88,10
11,41321480,Sylvia,Kirlin,Apr 24th 05,11
12,88500995,Ernestine,Beer,Sep 28th 96,12
13,3329733,Josh,Rippin,Jan 29th 00,13
14,37776883,Debra,Fadel,Sep 30th 87,14
15,88569697,Fannie,Bruen,Feb 20th 99,15
16,19613811,Stuart,Carroll,May 16th 92,16
17,20198589,Guy,Mosciski,Dec 29th 96,17
18,20536311,Lee,Hackett,Feb 21st 98,18
19,53844351,Gabriel,Sporer,Jul 17th 93,19
20,12670227,Roberta,Kohler,Dec 31st 88,20
21,59253580,Carla,Bernier,Mar 4th 97,21
22,20306840,Leon,Bernier-Greenfelder,Jan 31st 85,22
23,39499985,Georgia,Okuneva,Jul 26th 02,23
24,48727455,Janice,Herzog,Oct 29th 96,24
25,61983756,Melinda,Kunze,Oct 14th 99,25
26,5211248,Mable,Johns-Mueller,May 7th 98,26
27,97437096,Roman,Hoppe,Nov 20th 94,27
28,70939932,Felix,Lueilwitz,Jan 12th 93,28
29,33516256,Everett,Williamson,May 30th 90,29
30,65994937,Garrett,Bahringer,Mar 19th 95,30
31,79337636,Annie,Schmeler,Nov 3rd 87,31
32,87087448,Myron,Shanahan,Aug 11th 88,32
33,73122917,Emilio,Dickinson,May 21st 93,33
34,72812579,Homer,Durgan,Nov 11th 88,34
35,83772508,Ed,Bernier-Connelly,Jul 17th 93,35
36,81801131,Dean,Sawayn,Jan 8th 99,36
37,1015159,Tammy,Stroman,Dec 6th 02,37
38,24632769,Frances,Schmidt,Nov 19th 98,38
39,20756832,Kristopher,Kerluke,Feb 3rd 84,39
40,57446413,Leslie,Collier,Sep 6th 85,40
41,53323557,Bradley,Dooley,Sep 10th 04,41
42,86543522,Janie,Carroll,Dec 22nd 91,42
43,64359990,Dallas,Rippin,Nov 28th 98,43
44,38816031,Vicky,Collier,Sep 16th 85,44
45,77211581,Alfonso,Morissette,Jul 9th 00,45
46,65524262,Kendra,Bergnaum,Feb 11th 87,46
47,12460553,Allison,Fisher,Aug 23rd 96,47
48,74572006,Percy,Hickle,May 31st 97,48
49,58955578,Clay,Leuschke,Mar 27th 01,49
50,9295709,Carl,Smitham,Oct 16th 98,50
51,99632125,Olivia,Kshlerin,Jan 19th 03,51
52,43052887,Matthew,Murazik-Cruickshank,Jun 3rd 89,52
53,38576114,Chester,Skiles,Apr 16th 91,53
54,93989214,Raymond,Feeney,Oct 24th 03,54
55,47683659,Erika,Kshlerin,Jul 26th 84,55
56,67766006,Eloise,Carter,Dec 13th 03,56
57,22867366,Homer,O'Connell,Feb 24th 05,57
58,56390727,Julius,Morar,Dec 2nd 85,58
59,8332306,Harold,Toy,Sep 10th 98,59
60,81797478,Melba,Goyette,Feb 8th 96,60
61,47488509,Gretchen,McKenzie,Aug 8th 85,61
62,74254679,Bradley,Frami,May 25th 87,62
63,22650903,Percy,Wyman,Apr 29th 97,63
64,3992222,Emanuel,Cummerata,Feb 17th 86,64
65,70228805,Gregg,Strosin,Dec 11th 85,65
66,53256680,Leonard,Gutkowski,Jan 24th 90,66
67,94828718,Nichole,Renner,Jun 24th 91,67
68,56094451,Kirk,Sawayn,Sep 2nd 88,68
69,81000692,Jean,Block-Nienow,Jan 26th 99,69
70,67363099,Claudia,Gleichner,Dec 15th 02,70
71,61155987,Peter,Powlowski,Apr 19th 05,71
72,13524451,Leonard,Reilly,Jun 27th 85,72
73,75359949,Joanna,Berge,Apr 7th 00,73
74,57176990,Sheila,Kiehn,Jul 15th 01,74
75,4290759,Sandra,Ferry,Apr 15th 01,75
76,2535253,Colin,Johnston,Dec 5th 93,76
77,84651977,Lonnie,Lowe,Apr 7th 91,77
78,16452180,Francis,Collins,Nov 6th 03,78
79,38841799,Dana,Schimmel,Dec 19th 92,79
80,93468059,Zachary,Hilll,Oct 17th 95,80
81,48618180,Billie,Bernier,Mar 24th 89,81
82,87342711,Daniel,Kub,Aug 14th 01,82
83,85442980,Casey,Osinski,Aug 18th 85,83
84,90790810,Roland,Hammes,Jul 18th 06,84
85,87682487,Felix,Bradtke,Nov 5th 03,85
86,52006420,Teresa,Cummings-Feeney,Jan 19th 04,86
87,92860124,Lamar,Boehm,Aug 4th 01,87
88,69782656,Danny,Smitham,Aug 19th 92,88
89,77807412,Jermaine,Ebert,Apr 13th 86,89
90,37851074,Terrell,Nienow,Jun 16th 01,90
91,9374081,Pete,Lakin,May 12th 06,91
92,28071487,Norman,Oberbrunner,Aug 27th 98,92
93,58867827,Leona,Roob,Dec 3rd 97,93
94,41786739,Stella,Hessel,Jul 11th 03,94
